Summary,Issue Type,Priority,Description,Acceptance Criteria,Labels,Epic Name,Epic Link,Story Points,Component/s
"KYC Screening Orchestration & Real-Time Flow",Epic,High,"Covers the end-to-end orchestration of the real-time KYC pre-check flow: from receiving the screening initiation request from EIS/InvestiFi Gateway through parallel KYC-NCA ingestion and NLS/NRTS screening to sequential CRRE risk rating and consolidated response delivery (NCA Steps 1–4). Maps to requirements KYC-F-01 through KYC-F-08, KYC-I-12 to KYC-I-19.","","KYC,Screening,Sprint1","KYC Screening Orchestration & Real-Time Flow","",0,kyc-orchestration
"KYC On-Hold Detection & NCA Case Creation",Epic,High,"Covers the sub-flow triggered when a screening Hit or HIGH risk rating is detected. KYC Orchestration must create an internal tracking record and invoke the KYC-NCA Case API to open a new NCA case in 'New' state (NCA Step 5). Maps to requirements KYC-F-10 through KYC-F-13, KYC-I-07.","","KYC,CaseManagement,Sprint1","KYC On-Hold Detection & NCA Case Creation","",0,kyc-orchestration
"KYC NLS Final Feedback Processing",Epic,High,"Covers the asynchronous processing of the final NLS feedback file after initial real-time screening. KYC Orchestration must poll NLS, route confirmed alerts and attached documents to the corresponding NCA case, and handle NAR (false-positive) notifications (NCA Steps 6–7). Maps to requirements KYC-F-15 through KYC-F-17.","","KYC,NLS,Feedback,Sprint2","KYC NLS Final Feedback Processing","",0,kyc-orchestration
"KYC IDV Confirmation & Case Status Transition",Epic,High,"Covers the callback flow where EIS/InvestiFi Gateway notifies IDV completion, triggering a case status transition in KYC-NCA from 'New' to 'Ready for Review' (or 'Cancelled' on rejection) (NCA Steps 8–9). Maps to requirements KYC-F-18 through KYC-F-20, KYC-I-08.","","KYC,IDV,Sprint2","KYC IDV Confirmation & Case Status Transition","",0,kyc-orchestration
"KYC Case Finalization & Feedback Delivery",Epic,High,"Covers the polling of KYC-NCA for finalized cases and the delivery of final KYC decisions (PROCEED / REJECT) back to EIS/InvestiFi Gateway, with tracking DB updates and idempotent delivery guarantees (NCA Step 11). Maps to requirements KYC-F-21 through KYC-F-26.","","KYC,Feedback,Sprint3","KYC Case Finalization & Feedback Delivery","",0,kyc-orchestration
"KYC API Integration & Authentication",Epic,High,"Governs how KYC Orchestration interfaces with EIS/InvestiFi Gateway and KYC-NCA: TLS, OAuth 2.0, UniqueClientID correlation, structured error responses, idempotency, and KYC-NCA retry policies. Maps to requirements KYC-I-01 through KYC-I-10.","","KYC,Integration,Security,Sprint1","KYC API Integration & Authentication","",0,kyc-orchestration
"KYC Security & Data Privacy Compliance",Epic,High,"Covers scope-based authorisation, TLS 1.2+ transport security, PII masking in logs, and immutable audit trail for all state transitions. Ensures compliance with GDPR and BaFin data handling standards. Maps to requirements KYC-NF-09 through KYC-NF-13.","","KYC,Security,GDPR,Sprint2","KYC Security & Data Privacy Compliance","",0,kyc-orchestration
"KYC Performance, Reliability & Resilience",Epic,High,"Covers end-to-end latency targets, throughput requirements (20 req/s), configurable downstream timeouts, retry with exponential back-off, partial failure handling, and idempotency for all state-changing operations. Maps to requirements KYC-NF-01 through KYC-NF-08.","","KYC,Performance,Reliability,Sprint2","KYC Performance, Reliability & Resilience","",0,kyc-orchestration
"KYC Observability & Alerting",Epic,Medium,"Covers distributed trace ID propagation across all downstream calls, metrics exposure, and alerting for downstream unavailability and SLA breach risk. Maps to requirements KYC-NF-14 through KYC-NF-16.","","KYC,Observability,Sprint3","KYC Observability & Alerting","",0,kyc-orchestration
"Expose KYC pre-check initiation API endpoint",Story,High,"As an EIS or PPR Gateway, I want to call a single REST endpoint to initiate a KYC pre-check for a new client, so that I receive consolidated screening and risk rating results in a single synchronous response.

Background: KYC Orchestration is the central coordinator. EIS/InvestiFi Gateway is the caller. The endpoint must accept all mandatory client details including UniqueClientID (ref. OI-01 for source confirmation).

Requirements: KYC-F-01, KYC-I-01","AC1: POST /api/v1/kyc/initiate is available and returns HTTP 200 with a structured response body on success.
AC2: The request body must include UniqueClientID, firstName, lastName, dob, businessLine, cityOfBirth, primaryCitizenship, residentialAddress, and countryOfResidence as mandatory fields.
AC3: Missing or invalid mandatory fields return HTTP 400 with a structured ErrorResponse (field name + validation message).
AC4: The endpoint is accessible over HTTPS (TLS 1.2 or higher) — HTTP is rejected.
AC5: Unauthenticated requests return HTTP 401.
AC6: The API is discoverable via Swagger UI at /swagger-ui/index.html.","KYC-F-01,KYC-I-01,MUST","","KYC Screening Orchestration & Real-Time Flow",5,kyc-orchestration
